,title,price,asin,imageURLHighRes,ratings
0,"Chicken of the Sea, Solid White Albacore Tuna in Water, 5 Oz",$1.48,B00032E8XK,"['https://images-na.ssl-images-amazon.com/images/I/512yc%2BphYFL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Q25hEVajL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Z52x-c3UL.jpg']",4.09853249475891
1,"Hidden Valley Salad Dressing Original Ranch, 8 oz",$2.29,B0005ZYFM4,"['https://images-na.ssl-images-amazon.com/images/I/41Uxo0%2BS1tL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31S4PLHZXeL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51XtPvztGCL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51je08baErL.jpg']",5.0
2,QKR STNDRD OATMEAL - QUICK 18OZ,$2.44,B00099XLXU,"['https://images-na.ssl-images-amazon.com/images/I/41B3Ex4XDdL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51WzKnMNHmL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41fJ0eR9ooL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31KlAjtdMqL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417oJLqRzrL.jpg']",4.4391891891891895
3,Progresso Plain Bread Crumbs 15 oz Canister,$1.59,B00099XO5U,"['https://images-na.ssl-images-amazon.com/images/I/51FcWhTRObL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61weuv0VwJL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51-Wam51B3L.jpg']",4.098039215686274
4,"Del Monte Pear Halves, Lite, 15 Oz",$1.79,B00099XP4A,"['https://images-na.ssl-images-amazon.com/images/I/51KW25bJ9KL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51tzqhlB17L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/319T%2B4UF1eL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51S7M1DZ6WL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/315x8J2Kd8L.jpg']",4.5
5,"Carnation Evaporated Milk, 12 Fl Oz",$1.19,B00099XPD6,"['https://images-na.ssl-images-amazon.com/images/I/41OT3qlkESL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61gUH%2BlWX5L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31MKAGXLbjL.jpg']",4.274643521388716
6,"Progresso Soup, Vegetable Classics, Lentil Soup, 19 oz Can",$1.69,B00099XO3W,"['https://images-na.ssl-images-amazon.com/images/I/51RygahWE1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ixYMsNvKL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51fmFHBV%2BML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zxIe7O6yL.jpg']",4.2444444444444445
7,"Del Monte Canned Fresh Cut Blue Lake No Salt Added Cut Green Beans, 14.5-Ounce",$0.99,B00099XPMM,"['https://images-na.ssl-images-amazon.com/images/I/51d0TYCHK1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/518pG9L5PuL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51BLu3YXDcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31%2BOPInJP1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51pEvtAPvwL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/21dP5z9kB3L.jpg']",4.285714285714286
8,"Johnson's Baby Shampoo, 15 fl. oz.",$3.53,B000GCHLWC,"['https://images-na.ssl-images-amazon.com/images/I/41paVFYzDDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415zOw9ItcL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41eZc2GjDWL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417J7keExGL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41nW1RWrMML.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31m60VcmfYL.jpg']",4.417721518987341
9,"Aquafresh Extreme Clean Whitening Action Fluoride Toothpaste for Cavity Protection, 5.6 ounce",$3.26,B000GGJDNI,"['https://images-na.ssl-images-amazon.com/images/I/419LbmiUjnL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LeJ1QYKTL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31xgDMRhThL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31e5CSS19bL.jpg']",4.157894736842105
10,"BUMBLE BEE Snack on the Run! Tuna Salad with Crackers Kit, Canned Tuna Fish, Good Source of...",$1.29,B000HDCNAU,"['https://images-na.ssl-images-amazon.com/images/I/51ckOe5G8jL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416aDvHFYkL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61CpYgPMX-L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41%2BJgMX-V3L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/517xjmhQrhL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51kZGJ4si1L.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51ealDFBllL.jpg']",4.186878727634195
11,"American Crew Forming Cream, 3 ounce",$13.96,B000KEIPC6,"['https://images-na.ssl-images-amazon.com/images/I/51VTyShUdDL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51KVyuhC4fL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61q13T5fMPL.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41CYy8hS1PL.jpg']",4.340160284951024
